date,sent
4/15/15,0.025439462
4/16/15,0.083957944
4/17/15,0.083381323
4/18/15,0.017366667
4/19/15,0.009649573
4/20/15,0.052038922
4/21/15,0.073252174
4/22/15,0.071766551
4/23/15,0.067348165
4/24/15,0.086072704
4/25/15,0.07196
4/26/15,0.058567416
4/27/15,0.063572447
4/28/15,0.076752322
4/29/15,0.028032028
4/30/15,0.065634241
5/1/15,0.073794521
5/2/15,0.082926471
5/3/15,0.0648
5/4/15,0.066202643
5/5/15,0.057491803
5/6/15,0.037705882
5/7/15,0.07310728
5/8/15,0.048942085
5/9/15,0.043260274
5/10/15,0.056044776
5/11/15,0.048578512
5/12/15,0.058285024
5/13/15,0.032717822
5/14/15,0.031361538
5/15/15,0.042948276
5/16/15,0.021964401
5/17/15,0.040649635
5/18/15,0.039752907
5/19/15,0.061757085
5/20/15,0.020553531
5/21/15,0.056753138
5/22/15,0.022943182
5/23/15,0.041756477
5/24/15,0.080934426
5/25/15,0.025128
5/26/15,0.024564232
5/27/15,0.059846154
5/28/15,0.077235616
5/29/15,0.04788024
5/30/15,0.04255303
5/31/15,0.054995349
6/1/15,0.049981538
6/2/15,0.04921988
6/3/15,0.070685446
6/4/15,0.068483384
6/5/15,0.057886364
6/6/15,0.120109091
6/7/15,0.103335664
6/8/15,0.042866667
6/9/15,0.04921393
6/10/15,0.056383041
6/11/15,0.055534783
6/12/15,0.043199346
6/13/15,0.045
6/14/15,0.024550898
6/15/15,0.05470088
6/16/15,0.02021875
6/17/15,0.036241192
6/18/15,0.063726514
6/19/15,0.042634921
6/20/15,0.029703846
6/21/15,0.030434978
6/22/15,0.049047619
6/23/15,0.063211382
6/24/15,0.061112219
6/25/15,0.079016548
6/26/15,0.053493939
6/27/15,0.030025926
6/28/15,0.047369811
6/29/15,0.07073494
6/30/15,0.086991561
7/1/15,0.064678571
7/2/15,0.067365672
7/3/15,0.051670588
7/4/15,0.043573529
7/5/15,0.051291667
7/6/15,0.117309524
7/7/15,0.04091129
7/8/15,0.082786207
7/9/15,0.09144898
7/10/15,0.05828655
7/11/15,0.055405751
7/12/15,0.035187773
7/13/15,0.101613577
7/14/15,0.103427686
7/15/15,0.077409987
7/16/15,0.067421239
7/17/15,0.085836735
7/18/15,0.065205128
7/19/15,0.084772727
7/20/15,0.066807183
7/21/15,0.06331
7/22/15,0.057609865
7/23/15,0.10868263
7/24/15,0.100510214
7/25/15,0.074185379
7/26/15,0.071230216
7/27/15,0.060910628
7/28/15,0.056759382
7/29/15,0.056240987
7/30/15,0.045517241
7/31/15,0.031927536
8/1/15,0.037421053
8/2/15,0.016427451
8/3/15,0.039306667
8/4/15,0.063517241
8/5/15,0.061964664
8/6/15,0.044805419
8/7/15,0.018451754
8/8/15,0.036160305
8/9/15,0.049392857
8/10/15,0.059177419
8/11/15,0.06157529
8/12/15,0.076665289
8/13/15,0.031291317
8/14/15,0.024235457
8/15/15,0.035945559
8/16/15,0.070195946
8/17/15,0.052987805
8/18/15,0.044461728
